adapter_backend,adapter_name,vendor_id,device_id,max_texture_dimension_2d,max_texture_array_layers,raw_width,raw_height,tile_size,tile_halo,viewport_width,viewport_height,zoom,validate_ms,atlas_plan_ms,texture_allocate_ms,halo_pack_ms,row_pack_ms,write_enqueue_ms,uniform_write_ms,bind_ms,upload_total_ms,upload_enqueue_ms,upload_wait_ms,render_p50_ms,render_p95_ms,render_p99_ms,gpu_complete
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,1280,720,0.5,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.087,2.498,2.907,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,1280,720,1,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.047,1.343,2.544,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,1280,720,2,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.448,3.053,3.277,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,1280,720,8,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.339,1.930,2.838,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,2560,1440,0.5,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.250,1.655,2.373,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,2560,1440,1,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.517,3.113,3.267,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,2560,1440,2,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.207,1.606,1.838,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,2560,1440,8,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.151,1.392,1.519,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,3840,2160,0.5,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,0.770,1.282,1.488,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,3840,2160,1,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,1.446,2.175,2.626,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,3840,2160,2,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,2.607,3.763,4.210,true
Metal,"Apple M5",0,0,32768,2048,1024,1024,4096,1,3840,2160,8,0.001,0.000,0.089,36.338,8.932,11.985,0.109,0.119,57.576,57.58,0.006,2.775,3.768,4.064,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,1280,720,0.5,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,0.606,1.447,1.505,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,1280,720,1,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,1.315,5.636,6.594,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,1280,720,2,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,1.139,4.632,5.390,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,1280,720,8,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,1.063,5.900,6.501,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,2560,1440,0.5,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,1.573,4.234,6.552,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,2560,1440,1,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,1.363,2.102,6.019,true
Metal,"Apple M5",0,0,32768,2048,2048,1536,4096,1,2560,1440,2,0.001,0.000,0.043,45.157,5.927,12.023,0.061,0.055,63.271,63.27,0.006,2.260,6.423,6.498,true
