adapter_backend,adapter_name,raw_width,raw_height,frame_bytes,tile_size,tile_halo,tile_count,atlas_bytes,reps,validate_p50_ms,atlas_plan_p50_ms,texture_allocate_p50_ms,halo_pack_p50_ms,row_pack_p50_ms,write_enqueue_p50_ms,uniform_write_p50_ms,bind_p50_ms,total_p50_ms,total_min_ms,wait_p50_ms
Metal,"Apple M5",2048,1536,6291456,4096,1,1,33587208,7,0.0005,0.0002,0.0327,13.2269,1.8852,4.8640,0.0185,0.0213,20.1047,18.1977,0.003
Metal,"Apple M5",2048,1536,6291456,256,1,48,6390144,7,0.0005,0.0000,0.0182,3.0124,0.5469,1.5771,0.0103,0.0098,5.2004,4.9435,0.003
Metal,"Apple M5",2048,1536,6291456,512,1,12,6340704,7,0.0007,0.0001,0.0160,3.0399,0.3637,1.1200,0.0104,0.0086,4.5615,4.1842,0.002
Metal,"Apple M5",2048,1536,6291456,1024,1,4,8421408,7,0.0005,0.0000,0.0152,3.3159,0.3913,1.3049,0.0092,0.0077,5.0963,4.7138,0.002
Metal,"Apple M5",2048,1536,6291456,2048,1,1,8405000,7,0.0005,0.0001,0.0137,3.4322,0.3635,1.2287,0.0124,0.0150,5.1725,4.7465,0.002
Metal,"Apple M5",2048,1536,6291456,4096,1,1,33587208,7,0.0006,0.0002,0.0279,13.2765,2.0655,5.1560,0.0211,0.0177,20.7232,20.0124,0.002
Metal,"Apple M5",2048,1536,6291456,1024,0,4,8388608,7,0.0006,0.0001,0.0191,3.4253,0.0001,1.2147,0.0111,0.0086,4.7933,4.5064,0.002
Metal,"Apple M5",2048,1536,6291456,1024,1,4,8421408,7,0.0005,0.0002,0.0155,3.3673,0.3770,1.3669,0.0112,0.0087,5.1584,4.9197,0.002
Metal,"Apple M5",2048,1536,6291456,1024,2,4,8454272,7,0.0004,0.0001,0.0146,3.4802,0.3742,1.3492,0.0114,0.0083,5.3040,4.8747,0.002
Metal,"Apple M5",2048,1536,6291456,1024,4,4,8520192,7,0.0005,0.0000,0.0155,3.4714,0.3996,1.5013,0.0119,0.0090,5.3921,5.1317,0.002
Metal,"Apple M5",4096,3072,25165824,4096,1,1,33587208,7,0.0005,0.0000,0.0333,13.6632,2.2505,5.2568,0.0290,0.0199,21.3408,20.5951,0.002
Metal,"Apple M5",4096,3072,25165824,256,1,192,25560576,7,0.0006,0.0001,0.0200,13.9048,2.6055,7.2113,0.0162,0.0113,23.6759,23.0165,0.003
Metal,"Apple M5",4096,3072,25165824,512,1,48,25362816,7,0.0006,0.0001,0.0292,14.6469,1.9483,5.5731,0.0175,0.0110,22.1913,21.2971,0.003
Metal,"Apple M5",4096,3072,25165824,1024,1,12,25264224,7,0.0008,0.0001,0.0263,14.2678,1.5468,5.0648,0.0173,0.0113,21.0215,20.8145,0.003
Metal,"Apple M5",4096,3072,25165824,2048,1,4,33620000,7,0.0012,0.0003,0.0436,18.9886,3.8169,7.5753,0.0267,0.0155,30.3305,28.7485,0.004
Metal,"Apple M5",4096,3072,25165824,4096,1,1,33587208,7,0.0011,0.0001,0.0763,18.7610,3.1927,8.8571,0.0372,0.0365,31.3004,30.0319,0.005
Metal,"Apple M5",4096,3072,25165824,1024,0,12,25165824,7,0.0011,0.0001,0.0330,18.0063,0.0005,5.5877,0.0227,0.0182,23.6721,21.2900,0.005
Metal,"Apple M5",4096,3072,25165824,1024,1,12,25264224,7,0.0009,0.0000,0.0274,15.8774,1.7370,5.2008,0.0250,0.0158,23.0802,22.0699,0.004
Metal,"Apple M5",4096,3072,25165824,1024,2,12,25362816,7,0.0009,0.0001,0.0271,15.9563,1.7221,5.5408,0.0189,0.0152,23.3328,22.6770,0.004
Metal,"Apple M5",4096,3072,25165824,1024,4,12,25560576,7,0.0007,0.0003,0.0285,15.6184,1.6387,5.5099,0.0245,0.0196,23.0067,22.4039,0.004
Metal,"Apple M5",6240,4160,51916800,4096,1,4,134348832,7,0.0011,0.0002,0.1850,75.5874,14.3369,31.6727,0.0465,0.0187,122.3847,114.8963,0.005
Metal,"Apple M5",6240,4160,51916800,512,1,117,61821864,7,0.0013,0.0003,0.0418,46.9876,4.1689,16.8109,0.0206,0.0170,68.1071,64.4538,0.004
Metal,"Apple M5",6240,4160,51916800,1024,1,35,73687320,7,0.0014,0.0002,0.0513,49.1649,4.9343,17.2943,0.0223,0.0152,72.2170,68.1560,0.004
Metal,"Apple M5",6240,4160,51916800,2048,1,12,100860000,7,0.0016,0.0003,0.1119,76.7368,14.7381,30.0422,0.0383,0.0284,121.7162,97.4520,0.005
Metal,"Apple M5",6240,4160,51916800,4096,1,4,134348832,7,0.0013,0.0003,0.1569,87.5210,18.2416,42.8072,0.0558,0.0217,149.8639,131.2908,0.005
Metal,"Apple M5",6240,4160,51916800,1024,0,35,73400320,7,0.0011,0.0002,0.0458,51.0304,0.0013,18.5266,0.0226,0.0187,70.1532,67.3963,0.004
Metal,"Apple M5",6240,4160,51916800,1024,1,35,73687320,7,0.0009,0.0003,0.0447,52.4797,5.2801,18.2310,0.0218,0.0154,76.0807,74.1192,0.004
